리뷰작성일,이름,구매정보,사이즈평가,리뷰
2020.09.27 15:52,알파바운스 슬라이드 - 블랙 / B41720,235 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",이뿝니다 내내 편하게 신구다닐거같아요! 배송도 빨랐어요 ᕦ(ò_óˇ)ᕤ
2020.09.27 15:44,알파바운스 슬라이드 - 블랙:화이트 / BA8775,285 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",남자친구랑 커플로 구매했어요 편안하구 푹신해서 좋아요
2020.09.27 15:43,알파바운스 슬라이드 - 블랙:화이트 / BA8775,235 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 편안해요",남자친구랑 커플로 구매했어요 푹신하구 편안해서 좋아요
2020.09.27 14:12,알파바운스 슬라이드 - 블랙:화이트 / BA8775,275 구매,"사이즈 : 보통이에요
밝기 : 어두워요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",가족이나 어른분들 선물로 드리기 너무 좋은 듯 해요! 벌써 6개 째 구매중입니다
2020.09.27 12:40,알파바운스 슬라이드 - 블랙:화이트 / BA8775,275 구매,"사이즈 : 작아요
밝기 : 보통이에요
색감 : 선명해요
발볼 : 좁아요
착화감 : 편안해요","보통 슬리퍼는 1업정도 해서 신는데 딱 맞는 판단
발 피로도도 적고 유명한 슬리퍼니 .."
2020.09.27 01:03,알파바운스 슬라이드 - 블랙:화이트 / BA8775,275 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",키좀 커진거 같아서 기분이 좋아요 ..🥰 그리고 착화감이 너무 좋아요
2020.09.26 22:26,알파바운스 슬라이드 - 블랙:화이트 / BA8775,285 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",어디에나 어울릴수 있는 슬리퍼 쿠션감좋고 이쁘네여
2020.09.26 18:40,알파바운스 슬라이드 - 블랙:화이트 / BA8775,265 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 보통이에요
발볼 : 보통이에요
착화감 : 적당해요",어디에나 잘 어울리고 스타일링 하기 편해요 굿굿~
2020.09.26 14:46,알파바운스 슬라이드 - 옐로우:블랙 / FX1327,265 구매,"사이즈 : 보통이에요
밝기 : 보통이에요
색감 : 선명해요
발볼 : 보통이에요
착화감 : 편안해요",친구꺼 신어봤는데 푹신푹신해서 세일하길래 샀습니다. 기억이 좀 과장되있던 건지 생각했던 거만큼 푹신하진 않은데 저렴하게 산듯합니다. 색은 인터넷과 동일합니다.
2020.09.26 14:22,알파바운스 슬라이드 - 블랙:화이트 / BA8775,235 구매,"사이즈 : 커요
밝기 : 밝아요
색감 : 선명해요
발볼 : 넓어요
착화감 : 편안해요",편안해요 근데 좀 많이 큰듯해요 230신는 사람인데 한치수정도 더 크네요 근데 괜찮아요 예뻐요
